original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
255,StdMoE-B,2,0.3338,0.3326,2175,1078,6.514,15.8
53,StdMoE-B,2,0.1430,0.3295,1360,51,1.617,97.5
65,StdMoE-B,2,0.2866,0.4631,3103,1293,6.668,7.8
126,StdMoE-B,2,0.4721,0.2834,1179,251,4.452,54.6
211,StdMoE-B,2,0.3372,0.4338,1815,308,4.739,50.6
212,StdMoE-B,2,0.1687,0.3659,3180,959,6.211,11.7
37,StdMoE-B,2,0.2403,0.4266,2242,834,6.134,16.5
235,StdMoE-B,2,0.1089,0.3560,1295,16,0.271,99.2
81,StdMoE-B,2,0.3921,0.3007,3277,475,4.919,33.4
136,StdMoE-B,2,0.3262,0.4159,52272,89,0.169,99.8
85,StdMoE-B,2,0.1843,0.4026,3044,977,6.134,15.0
200,StdMoE-B,2,0.1778,0.3948,2464,684,5.778,13.4
194,StdMoE-B,2,0.4247,0.3274,2602,839,6.147,11.7
22,StdMoE-B,2,0.0774,0.3212,2933,632,5.653,14.0
79,StdMoE-B,2,0.0830,0.4058,2195,586,5.639,31.5
233,StdMoE-B,2,0.3720,0.2708,2634,29,0.590,99.1
23,StdMoE-B,2,0.1148,0.3335,2038,39,0.551,98.4
99,StdMoE-B,2,0.2814,0.3485,2788,827,6.090,15.6
30,StdMoE-B,2,0.1658,0.3548,1977,162,4.023,65.2
169,StdMoE-B,2,0.3561,0.3975,53676,77,0.294,99.9
5,StdMoE-B,2,0.1671,0.3472,3397,1248,6.583,10.1
102,StdMoE-B,2,0.0884,0.3617,1452,239,4.323,65.5
205,StdMoE-B,2,0.2698,0.4288,3052,1122,6.562,6.3
39,StdMoE-B,2,0.3336,0.2795,3216,37,2.168,99.5
43,StdMoE-B,2,0.1760,0.4403,3034,65,1.178,98.5
78,StdMoE-B,2,0.1172,0.3207,2112,981,6.494,11.8
55,StdMoE-B,2,0.2481,0.2705,2490,53,1.242,98.2
60,StdMoE-B,2,0.1873,0.3514,2544,918,6.214,11.1
26,StdMoE-B,2,0.2002,0.0000,1424,274,4.792,26.3
248,StdMoE-B,2,0.1983,0.4223,3139,43,0.554,99.0
184,StdMoE-B,2,0.2374,0.3157,1480,61,2.587,97.4
210,StdMoE-B,2,0.2629,0.2913,2311,793,6.079,12.0
20,StdMoE-B,2,0.1443,0.4050,2678,839,6.157,14.8
137,StdMoE-B,2,0.3452,0.4474,2457,877,6.189,13.6
