original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
143,StdMoE-B,0,0.3375,0.3095,6456,1416,6.569,7.1
195,StdMoE-B,0,0.7183,0.2232,3,3,1.099,100.0
203,StdMoE-B,0,0.0629,0.3298,117,20,1.549,86.3
10,StdMoE-B,0,0.1449,0.3305,5205,527,5.488,20.4
127,StdMoE-B,0,0.1231,0.3158,2669,635,5.760,17.4
126,StdMoE-B,0,0.2808,0.4210,7636,15,0.363,99.8
174,StdMoE-B,0,0.2072,0.2737,71,15,2.231,85.9
103,StdMoE-B,0,0.0852,0.2887,340,41,2.470,90.3
227,StdMoE-B,0,0.0601,0.3794,336,14,0.586,96.7
45,StdMoE-B,0,0.5886,0.2404,17194,5551,8.083,3.7
74,StdMoE-B,0,0.7612,0.2255,9,7,1.889,100.0
249,StdMoE-B,0,0.1147,0.4031,504,25,0.649,95.8
213,StdMoE-B,0,0.2872,0.2586,13017,3038,7.251,5.5
3,StdMoE-B,0,0.2798,0.3213,61198,573,0.785,1.9
167,StdMoE-B,0,0.1996,0.3111,4845,739,5.591,16.6
206,StdMoE-B,0,0.7459,0.2263,8,6,1.667,37.5
171,StdMoE-B,0,0.2006,0.3657,1065,64,1.975,95.3
62,StdMoE-B,0,0.3505,0.4555,2554,278,4.575,21.7
179,StdMoE-B,0,0.3590,0.2788,2329,740,6.123,10.5
215,StdMoE-B,0,0.7249,0.2273,7,7,1.946,100.0
109,StdMoE-B,0,0.3096,0.4424,9653,17,1.425,99.9
114,StdMoE-B,0,0.0978,0.3109,160,13,1.672,96.9
134,StdMoE-B,0,0.0492,0.3156,164,12,0.872,94.5
224,StdMoE-B,0,0.3407,0.3076,388,71,3.355,85.6
53,StdMoE-B,0,0.0634,0.3117,172,17,1.082,91.3
46,StdMoE-B,0,0.3027,0.3833,3725,590,5.719,14.1
30,StdMoE-B,0,0.0653,0.2963,197,27,1.905,86.3
