original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
189,StdMoE-B,3,0.1675,0.3126,2356,441,4.886,22.6
87,StdMoE-B,3,0.1828,0.4514,1494,812,6.253,23.4
1,StdMoE-B,3,0.3903,0.2583,1483,100,1.550,93.7
152,StdMoE-B,3,0.3390,0.4316,1706,689,5.884,29.0
121,StdMoE-B,3,0.3350,0.4568,2872,1226,6.586,10.5
242,StdMoE-B,3,0.2290,0.3543,2435,452,4.691,16.0
247,StdMoE-B,3,0.1036,0.3341,4451,348,2.447,15.9
13,StdMoE-B,3,0.0653,0.3401,2580,784,5.699,22.0
241,StdMoE-B,3,0.1895,0.4315,3184,350,3.695,57.4
177,StdMoE-B,3,0.4585,0.2693,1329,563,5.621,27.6
136,StdMoE-B,3,0.2536,0.4117,4115,1602,6.900,7.4
118,StdMoE-B,3,0.1502,0.3909,2916,17,0.544,99.7
148,StdMoE-B,3,0.0815,0.3214,1432,65,0.763,95.9
221,StdMoE-B,3,0.2514,0.3323,2602,567,5.532,15.9
31,StdMoE-B,3,0.1250,0.3877,3236,404,4.368,29.4
154,StdMoE-B,3,0.3394,0.3963,4014,947,5.664,19.9
58,StdMoE-B,3,0.0953,0.3650,1077,58,1.716,96.6
163,StdMoE-B,3,0.0861,0.3304,1713,539,5.612,19.3
232,StdMoE-B,3,0.3077,0.4502,2897,618,5.624,18.5
211,StdMoE-B,3,0.2042,0.3878,2455,1036,6.490,10.2
32,StdMoE-B,3,0.1372,0.3945,2972,127,1.943,96.0
224,StdMoE-B,3,0.1018,0.3425,3515,1175,6.441,9.0
240,StdMoE-B,3,0.2476,0.4438,3024,1187,6.542,13.1
70,StdMoE-B,3,0.1432,0.3824,1524,280,4.499,57.7
228,StdMoE-B,3,0.3587,0.4553,2815,1221,6.666,9.2
212,StdMoE-B,3,0.2583,0.4132,9214,381,1.072,3.6
33,StdMoE-B,3,0.1760,0.4508,4207,702,4.236,8.1
249,StdMoE-B,3,0.2199,0.3376,3246,1340,6.676,11.3
60,StdMoE-B,3,0.2536,0.4035,2763,922,5.915,12.6
21,StdMoE-B,3,0.5142,0.6696,1795,149,3.885,76.8
110,StdMoE-B,3,0.1678,0.4445,2232,82,1.864,97.2
138,StdMoE-B,3,0.1132,0.3720,1939,127,2.397,94.4
147,StdMoE-B,3,0.2909,0.3393,1487,291,4.348,23.7
115,StdMoE-B,3,0.3710,0.4449,2935,1831,7.304,6.3
120,StdMoE-B,3,0.1699,0.3451,5210,49,0.642,99.2
180,StdMoE-B,3,0.2680,0.3921,2793,640,4.697,50.8
146,StdMoE-B,3,0.3187,0.4340,1386,438,5.279,43.0
80,StdMoE-B,3,0.3399,0.4535,2542,1193,6.666,8.8
216,StdMoE-B,3,0.1615,0.4299,2115,367,4.890,35.3
199,StdMoE-B,3,0.1202,0.4121,2453,72,1.099,97.7
76,StdMoE-B,3,0.1210,0.4374,1994,237,3.397,75.6
223,StdMoE-B,3,0.1633,0.4282,3113,328,3.875,48.5
219,StdMoE-B,3,0.3186,0.4601,2184,1180,6.011,10.6
55,StdMoE-B,3,0.3340,0.4407,2724,1461,6.982,7.9
233,StdMoE-B,3,0.1008,0.3065,2853,265,3.792,63.9
176,StdMoE-B,3,0.1748,0.4228,3973,1254,6.270,8.7
23,StdMoE-B,3,0.6320,0.2246,1434,179,2.360,88.6
197,StdMoE-B,3,0.1301,0.3555,813,149,3.538,82.9
61,StdMoE-B,3,0.1655,0.4337,2641,1278,6.745,11.4
142,StdMoE-B,3,0.2073,0.3581,2579,98,3.318,83.1
193,StdMoE-B,3,0.3262,0.4617,1284,665,6.107,20.4
226,StdMoE-B,3,0.3528,0.4295,5712,1074,4.356,5.0
150,StdMoE-B,3,0.3562,0.4512,11,11,2.398,100.0
144,StdMoE-B,3,0.2523,0.3177,1644,539,5.685,28.2
128,StdMoE-B,3,0.0975,0.3967,3082,71,1.600,98.6
186,StdMoE-B,3,0.1265,0.4315,918,143,3.580,88.1
243,StdMoE-B,3,0.2996,0.3754,3928,1734,6.996,6.9
42,StdMoE-B,3,0.4985,0.3292,3761,762,5.714,10.4
25,StdMoE-B,3,0.1441,0.4154,3734,306,3.480,45.4
171,StdMoE-B,3,0.0972,0.3642,2520,124,2.584,96.5
45,StdMoE-B,3,0.3584,0.3839,4914,41,0.691,99.3
222,StdMoE-B,3,0.3414,0.4656,1574,941,6.540,18.7
37,StdMoE-B,3,0.1639,0.4472,2254,301,3.904,46.1
253,StdMoE-B,3,0.2482,0.4084,2425,1192,6.675,10.4
107,StdMoE-B,3,0.4748,0.3343,2398,285,4.719,37.6
40,StdMoE-B,3,0.0986,0.4049,46141,502,0.623,94.9
168,StdMoE-B,3,0.3563,0.4565,2083,1224,6.810,13.5
47,StdMoE-B,3,0.1934,0.4720,2932,1731,7.172,7.9
113,StdMoE-B,3,0.3802,0.4515,8,8,2.079,100.0
6,StdMoE-B,3,0.1980,0.3858,2632,1069,6.327,14.2
74,StdMoE-B,3,0.1338,0.3364,2324,865,6.141,10.3
28,StdMoE-B,3,0.2662,0.2773,3083,131,1.174,96.0
165,StdMoE-B,3,0.3391,0.4399,3618,1269,6.609,7.8
111,StdMoE-B,3,0.1411,0.4023,3378,160,2.532,90.0
175,StdMoE-B,3,0.3264,0.4648,3801,1551,6.826,7.6
