original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
160,StdMoE-B,1,0.3158,0.3027,3169,1374,6.844,7.5
63,StdMoE-B,1,0.2317,0.3527,1367,26,1.794,99.1
134,StdMoE-B,1,0.1143,0.3951,494,80,3.312,88.9
89,StdMoE-B,1,0.0964,0.4148,1740,73,2.961,97.6
60,StdMoE-B,1,0.1346,0.3749,3980,89,3.018,97.1
56,StdMoE-B,1,0.3905,0.3053,3406,1146,6.424,7.3
177,StdMoE-B,1,0.1305,0.4029,364,59,2.675,86.0
232,StdMoE-B,1,0.1687,0.3360,1952,18,1.575,99.7
43,StdMoE-B,1,0.0956,0.3114,2242,969,6.420,11.1
227,StdMoE-B,1,0.3999,0.3383,3368,16,0.545,99.7
182,StdMoE-B,1,0.1143,0.3346,695,72,2.312,89.8
1,StdMoE-B,1,0.2644,0.3107,1946,578,5.692,19.8
212,StdMoE-B,1,0.2163,0.3344,3755,549,5.232,10.1
230,StdMoE-B,1,0.1010,0.3363,1379,19,0.518,99.2
249,StdMoE-B,1,0.4600,0.4281,1526,392,5.397,20.7
79,StdMoE-B,1,0.2326,0.3886,2751,376,4.635,14.8
83,StdMoE-B,1,0.4698,0.6441,2320,178,4.121,80.6
216,StdMoE-B,1,0.2837,0.2944,2371,8,0.164,99.7
158,StdMoE-B,1,0.1891,0.2962,3237,1360,6.780,7.9
211,StdMoE-B,1,0.1651,0.4210,2747,9,0.212,99.7
163,StdMoE-B,1,0.2849,0.3019,2896,496,5.235,10.8
72,StdMoE-B,1,0.4100,0.4155,1394,158,3.877,84.9
144,StdMoE-B,1,0.3799,0.3082,1678,640,5.939,24.3
61,StdMoE-B,1,0.0759,0.3483,907,166,4.204,75.7
115,StdMoE-B,1,0.4246,0.2801,3041,995,6.226,13.0
162,StdMoE-B,1,0.2461,0.3437,2386,380,5.038,25.4
191,StdMoE-B,1,0.2956,0.3056,1383,430,5.196,33.9
35,StdMoE-B,1,0.2975,0.4122,671,37,2.100,96.0
225,StdMoE-B,1,0.3478,0.3955,3485,37,1.252,99.3
71,StdMoE-B,1,0.0846,0.3471,1450,100,3.503,93.7
169,StdMoE-B,1,0.4929,0.3296,2859,803,6.013,16.1
67,StdMoE-B,1,0.1231,0.2920,2329,838,6.251,9.1
59,StdMoE-B,1,0.2535,0.3380,4788,749,5.729,16.5
82,StdMoE-B,1,0.2525,0.3467,2043,346,4.892,33.3
54,StdMoE-B,1,0.0437,0.3226,934,48,2.084,95.9
48,StdMoE-B,1,0.1148,0.4071,2299,21,0.522,99.3
55,StdMoE-B,1,0.0843,0.3479,1310,147,3.683,83.4
40,StdMoE-B,1,0.1758,0.3238,3197,747,5.932,12.8
139,StdMoE-B,1,0.2094,0.3938,2095,824,6.265,13.4
246,StdMoE-B,1,0.2854,0.3403,2679,916,6.338,15.2
203,StdMoE-B,1,0.1841,0.4056,3436,445,4.777,26.6
17,StdMoE-B,1,0.0969,0.3783,1743,108,1.323,95.1
5,StdMoE-B,1,0.2843,0.4382,2072,311,4.554,13.0
2,StdMoE-B,1,0.1519,0.3594,3848,949,6.190,9.3
207,StdMoE-B,1,0.0669,0.3053,1214,301,4.579,61.9
124,StdMoE-B,1,0.2127,0.3512,2806,396,5.127,31.8
174,StdMoE-B,1,0.2867,0.3723,45619,436,0.422,0.6
252,StdMoE-B,1,0.2877,0.0000,1873,65,3.192,98.1
145,StdMoE-B,1,0.1573,0.3515,1912,347,4.948,41.7
251,StdMoE-B,1,0.2166,0.3519,1029,68,1.980,94.1
114,StdMoE-B,1,0.1296,0.4007,2217,113,1.729,96.4
210,StdMoE-B,1,0.1352,0.2994,2552,746,5.911,15.9
34,StdMoE-B,1,0.1159,0.3475,2835,295,3.755,19.2
120,StdMoE-B,1,0.2846,0.3168,2494,695,5.882,7.6
175,StdMoE-B,1,0.3962,0.3757,1588,430,5.388,27.6
156,StdMoE-B,1,0.2186,0.3695,1821,26,2.219,99.5
186,StdMoE-B,1,0.1145,0.3888,3212,66,2.185,98.9
62,StdMoE-B,1,0.1314,0.3917,2576,82,2.364,97.8
11,StdMoE-B,1,0.1316,0.3177,1854,54,1.987,97.8
107,StdMoE-B,1,0.2725,0.4112,3510,81,2.057,98.6
101,StdMoE-B,1,0.2713,0.0000,1980,75,3.461,97.8
