original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
131,StdMoE-B,2,0.3084,0.2970,3323,196,2.544,88.4
72,StdMoE-B,2,0.1708,0.2953,2073,424,4.906,23.1
216,StdMoE-B,2,0.1222,0.4085,3781,216,3.393,81.8
108,StdMoE-B,2,0.2070,0.3018,3744,251,3.817,42.3
60,StdMoE-B,2,0.1552,0.3412,2166,576,5.623,20.9
152,StdMoE-B,2,0.4289,0.2382,2493,15,0.120,99.5
178,StdMoE-B,2,0.2425,0.3117,2272,165,3.835,76.1
22,StdMoE-B,2,0.1690,0.3659,3172,31,0.660,99.3
73,StdMoE-B,2,0.1331,0.4106,3147,21,0.446,99.6
61,StdMoE-B,2,0.1333,0.3426,3256,885,6.010,16.9
130,StdMoE-B,2,0.1398,0.4168,2927,343,4.300,51.5
254,StdMoE-B,2,0.2562,0.4330,2079,716,5.926,22.1
220,StdMoE-B,2,0.1219,0.3894,1993,66,2.037,97.7
77,StdMoE-B,2,0.1394,0.3812,774,27,0.706,97.4
75,StdMoE-B,2,0.2119,0.3980,1280,26,0.555,98.2
127,StdMoE-B,2,0.0481,0.3158,3491,1394,6.690,6.7
134,StdMoE-B,2,0.1299,0.3213,2703,967,6.331,9.4
144,StdMoE-B,2,0.1595,0.3267,2683,92,2.019,97.3
24,StdMoE-B,2,0.1330,0.3866,2282,590,5.689,24.4
185,StdMoE-B,2,0.0668,0.2939,3996,1029,6.104,10.3
89,StdMoE-B,2,0.1193,0.3055,2396,90,2.692,97.8
38,StdMoE-B,2,0.2668,0.2821,2776,340,3.897,61.9
222,StdMoE-B,2,0.0907,0.3926,1563,453,5.392,20.9
40,StdMoE-B,2,0.2946,0.3290,3244,973,6.259,12.1
147,StdMoE-B,2,0.3181,0.4607,2268,687,5.079,31.3
39,StdMoE-B,2,0.2250,0.3084,1601,327,4.611,56.0
246,StdMoE-B,2,0.1113,0.4081,1593,25,0.421,98.7
17,StdMoE-B,2,0.4443,0.2572,1645,343,4.791,15.7
0,StdMoE-B,2,0.2209,0.3219,2292,951,6.313,20.2
13,StdMoE-B,2,0.2851,0.2770,2368,1096,6.489,14.5
133,StdMoE-B,2,0.0930,0.3739,937,33,1.232,97.8
101,StdMoE-B,2,0.2070,0.3716,2082,18,0.323,99.3
151,StdMoE-B,2,0.1201,0.3030,1888,311,4.788,35.4
84,StdMoE-B,2,0.0869,0.3929,2586,96,1.855,97.8
251,StdMoE-B,2,0.1734,0.4308,4231,104,2.740,97.9
