original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
89,StdMoE-B,0,0.5183,0.3661,3034,1010,6.288,11.1
88,StdMoE-B,0,0.2997,0.4328,21,7,1.325,61.9
231,StdMoE-B,0,0.3330,0.3845,3017,557,5.527,15.8
22,StdMoE-B,0,0.2439,0.4147,82,15,1.552,81.7
160,StdMoE-B,0,0.1533,0.3328,452,65,3.102,88.1
116,StdMoE-B,0,0.5180,0.2595,7074,2203,7.029,5.8
3,StdMoE-B,0,0.1788,0.3976,134,19,2.029,90.3
171,StdMoE-B,0,0.3024,0.4316,1446,9,0.501,99.5
37,StdMoE-B,0,0.2973,0.4394,12,3,0.721,75.0
203,StdMoE-B,0,0.3269,0.4226,34,13,1.865,64.7
182,StdMoE-B,0,0.1791,0.4222,1014,28,0.372,97.2
24,StdMoE-B,0,0.5324,0.3065,2988,605,5.526,7.6
134,StdMoE-B,0,0.1760,0.3309,3471,332,4.941,15.4
136,StdMoE-B,0,0.0817,0.3186,582,92,3.259,87.8
180,StdMoE-B,0,0.3097,0.4082,578,15,0.647,98.6
96,StdMoE-B,0,0.3068,0.4350,1746,30,1.239,99.1
113,StdMoE-B,0,0.4047,0.3792,55709,198,0.359,0.8
232,StdMoE-B,0,0.1276,0.4165,515,42,2.001,93.0
198,StdMoE-B,0,0.2824,0.2337,2269,170,4.343,31.6
82,StdMoE-B,0,0.1979,0.3972,317,14,1.105,97.5
63,StdMoE-B,0,0.1444,0.3879,12489,104,3.239,93.5
46,StdMoE-B,0,0.0421,0.3177,494,74,3.287,86.4
68,StdMoE-B,0,0.3048,0.4368,1,1,-0.000,100.0
245,StdMoE-B,0,0.3014,0.4195,713,19,0.308,97.8
210,StdMoE-B,0,0.2843,0.2981,159,67,3.780,54.7
115,StdMoE-B,0,0.2900,0.4277,5,3,1.055,100.0
214,StdMoE-B,0,0.3009,0.2564,1941,365,5.021,40.1
53,StdMoE-B,0,0.2366,0.4186,3096,17,0.527,99.5
223,StdMoE-B,0,0.1792,0.4118,8276,29,1.469,99.8
73,StdMoE-B,0,0.2067,0.3083,2704,380,5.252,23.5
21,StdMoE-B,0,0.3215,0.4437,17,4,1.141,82.4
105,StdMoE-B,0,0.2228,0.4477,15051,55,2.771,100.0
150,StdMoE-B,0,0.1268,0.3288,4994,265,4.402,18.7
158,StdMoE-B,0,0.4341,0.4654,1961,256,4.427,72.3
190,StdMoE-B,0,0.2327,0.3225,3473,707,5.836,13.7
94,StdMoE-B,0,0.3742,0.3581,5162,856,6.006,17.3
251,StdMoE-B,0,0.2260,0.4157,5080,70,2.432,99.4
127,StdMoE-B,0,0.3240,0.3390,6456,943,6.081,12.5
217,StdMoE-B,0,0.3007,0.4369,6,6,1.792,100.0
29,StdMoE-B,0,0.1936,0.3006,7368,1163,6.164,7.5
81,StdMoE-B,0,0.3037,0.4378,9,5,1.427,44.4
50,StdMoE-B,0,0.2731,0.4335,7228,13,0.233,99.9
84,StdMoE-B,0,0.3904,0.4504,652,99,3.020,87.1
87,StdMoE-B,0,0.1941,0.3945,437,26,1.895,97.0
43,StdMoE-B,0,0.4184,0.2618,3669,1224,6.667,8.3
163,StdMoE-B,0,0.3297,0.4432,3081,15,0.090,99.6
153,StdMoE-B,0,0.1480,0.2821,181,45,3.042,79.6
152,StdMoE-B,0,0.5259,0.2684,6026,2118,7.129,4.7
19,StdMoE-B,0,0.3241,0.3194,3770,1031,6.118,9.1
77,StdMoE-B,0,0.3754,0.3009,5133,1204,6.389,8.4
253,StdMoE-B,0,0.0801,0.3634,517,71,3.196,90.1
104,StdMoE-B,0,0.1426,0.4212,2654,40,2.355,99.2
4,StdMoE-B,0,0.1125,0.3626,2731,171,4.006,79.5
125,StdMoE-B,0,0.1043,0.4228,1258,14,0.296,99.4
39,StdMoE-B,0,0.3032,0.2978,4583,879,6.044,9.2
83,StdMoE-B,0,0.4306,0.2532,7570,2033,6.926,5.5
147,StdMoE-B,0,0.2886,0.4352,8,4,1.255,75.0
168,StdMoE-B,0,0.3114,0.4503,3,3,1.099,100.0
49,StdMoE-B,0,0.3542,0.3246,3693,705,5.878,13.0
157,StdMoE-B,0,0.2659,0.3921,60799,274,0.677,1.6
51,StdMoE-B,0,0.1355,0.3784,3810,193,4.260,47.5
13,StdMoE-B,0,0.1280,0.3217,3827,273,4.890,36.5
16,StdMoE-B,0,0.1063,0.3243,1027,78,3.322,95.5
164,StdMoE-B,0,0.0631,0.3155,210,49,3.181,78.1
213,StdMoE-B,0,0.3376,0.4534,7663,10,0.361,100.0
44,StdMoE-B,0,0.2690,0.3559,3242,452,5.223,11.8
207,StdMoE-B,0,0.2114,0.4547,64,16,2.205,82.8
90,StdMoE-B,0,0.4061,0.2958,2084,471,5.518,13.4
229,StdMoE-B,0,0.1590,0.3976,173,25,2.034,85.0
45,StdMoE-B,0,0.6702,0.0000,3013,544,5.649,14.8
2,StdMoE-B,0,0.2005,0.3890,760,35,1.074,96.3
244,StdMoE-B,0,0.2505,0.4000,2338,440,5.325,9.1
144,StdMoE-B,0,0.0706,0.3103,555,70,3.202,90.3
236,StdMoE-B,0,0.3492,0.3328,3263,933,6.135,6.3
128,StdMoE-B,0,0.3313,0.4388,12291,22,1.926,99.9
225,StdMoE-B,0,0.2297,0.4426,7,5,1.550,100.0
52,StdMoE-B,0,0.3340,0.4465,7541,11,0.356,100.0
179,StdMoE-B,0,0.3142,0.2853,5579,1196,6.424,8.3
215,StdMoE-B,0,0.3024,0.4019,62226,269,0.793,3.6
202,StdMoE-B,0,0.0855,0.4119,610,35,2.083,96.4
159,StdMoE-B,0,0.3237,0.4414,15,5,1.229,80.0
61,StdMoE-B,0,0.3034,0.4240,7,5,1.550,100.0
58,StdMoE-B,0,0.3293,0.4313,22,8,1.818,81.8
224,StdMoE-B,0,0.1498,0.6408,7126,50,2.479,99.7
249,StdMoE-B,0,0.2783,0.4306,312,26,1.623,93.9
12,StdMoE-B,0,0.2938,0.4311,316,24,2.198,93.7
132,StdMoE-B,0,0.5906,0.2734,6728,2721,7.483,4.7
191,StdMoE-B,0,0.2839,0.4271,8,3,0.736,75.0
28,StdMoE-B,0,0.4408,0.2594,2420,558,5.619,9.8
169,StdMoE-B,0,0.3909,0.3138,344,105,4.110,74.4
220,StdMoE-B,0,0.1286,0.2668,898,66,3.292,95.0
32,StdMoE-B,0,0.2764,0.4352,3,3,1.099,100.0
41,StdMoE-B,0,0.1327,0.4025,413,29,1.767,93.9
59,StdMoE-B,0,0.1260,0.3536,4373,248,4.340,12.5
65,StdMoE-B,0,0.2035,0.4242,77,13,1.532,83.1
80,StdMoE-B,0,0.3276,0.4354,51,8,1.578,92.2
242,StdMoE-B,0,0.2076,0.3918,97,12,1.337,90.7
8,StdMoE-B,0,0.2901,0.4099,708,31,0.962,96.3
33,StdMoE-B,0,0.2025,0.4053,9998,7,0.452,100.0
211,StdMoE-B,0,0.1778,0.3979,290,27,1.961,92.8
