original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
73,StdMoE-B,1,0.1907,0.3167,4457,22,0.153,99.7
166,StdMoE-B,1,0.2421,0.3547,3837,623,5.601,18.6
66,StdMoE-B,1,0.1569,0.4164,2818,13,0.082,99.7
68,StdMoE-B,1,0.0678,0.3036,2671,841,6.164,14.2
0,StdMoE-B,1,0.0613,0.3389,430,28,1.886,95.6
30,StdMoE-B,1,0.1497,0.3893,913,154,3.752,84.4
123,StdMoE-B,1,0.1558,0.3070,3069,954,6.281,12.0
179,StdMoE-B,1,0.1162,0.4008,4322,10,0.140,99.9
158,StdMoE-B,1,0.2365,0.3587,822,18,1.011,98.7
227,StdMoE-B,1,0.1267,0.3932,3076,480,4.856,8.4
53,StdMoE-B,1,0.0783,0.4158,3789,5,0.065,100.0
87,StdMoE-B,1,0.2679,0.4028,1834,15,0.985,99.6
55,StdMoE-B,1,0.3122,0.4086,1266,373,5.332,25.3
92,StdMoE-B,1,0.3917,0.3113,2577,569,5.531,10.9
241,StdMoE-B,1,0.1831,0.3865,3832,48,1.987,99.1
5,StdMoE-B,1,0.4438,0.2786,1708,978,6.575,11.7
192,StdMoE-B,1,0.2935,0.3271,2297,488,5.317,13.1
59,StdMoE-B,1,0.1788,0.3498,2883,447,5.086,13.1
191,StdMoE-B,1,0.3928,0.3578,2382,545,5.556,11.8
21,StdMoE-B,1,0.1141,0.3987,957,22,1.704,98.7
67,StdMoE-B,1,0.4329,0.7795,4422,384,4.736,25.3
124,StdMoE-B,1,0.3527,0.2863,4117,1052,6.232,9.9
225,StdMoE-B,1,0.4634,0.3356,1572,423,5.267,28.4
181,StdMoE-B,1,0.3313,0.4044,1636,115,2.180,94.1
80,StdMoE-B,1,0.3504,0.3546,4195,70,0.892,98.8
213,StdMoE-B,1,0.2358,0.5252,1592,141,3.989,72.5
168,StdMoE-B,1,0.3578,0.2722,2301,1015,6.500,9.2
143,StdMoE-B,1,0.1231,0.4800,950,50,2.548,97.2
169,StdMoE-B,1,0.1225,0.4064,2379,11,0.091,99.7
209,StdMoE-B,1,0.1685,0.3066,2697,337,4.857,44.7
249,StdMoE-B,1,0.2280,0.3456,2227,515,5.597,13.9
106,StdMoE-B,1,0.1869,0.4192,2312,146,3.551,85.8
206,StdMoE-B,1,0.6117,0.2252,700,419,5.721,36.3
12,StdMoE-B,1,0.3189,0.3029,3484,1096,6.370,8.5
20,StdMoE-B,1,0.1584,0.3325,1066,214,4.274,56.8
128,StdMoE-B,1,0.1369,0.3373,3455,971,6.170,7.6
61,StdMoE-B,1,0.2642,0.2922,2924,948,6.253,11.9
197,StdMoE-B,1,0.1256,0.4217,1313,23,0.799,98.6
107,StdMoE-B,1,0.2591,0.2985,4619,20,0.082,99.7
47,StdMoE-B,1,0.1466,0.4165,3025,38,1.334,99.3
63,StdMoE-B,1,0.1172,0.3946,1277,97,3.378,94.0
165,StdMoE-B,1,0.3102,0.3552,3395,1023,6.392,10.4
218,StdMoE-B,1,0.3957,0.2792,3030,805,5.935,13.5
134,StdMoE-B,1,0.2556,0.3315,1718,722,6.178,13.9
96,StdMoE-B,1,0.1857,0.2736,3636,1308,6.667,8.6
108,StdMoE-B,1,0.1708,0.4229,3218,68,2.509,98.9
90,StdMoE-B,1,0.2695,0.4689,3450,298,4.413,19.0
245,StdMoE-B,1,0.1426,0.3987,3435,44,1.708,99.3
14,StdMoE-B,1,0.3624,0.3338,3962,142,2.609,92.8
83,StdMoE-B,1,0.4041,0.2454,2202,1009,6.353,15.5
70,StdMoE-B,1,0.1110,0.3389,4421,116,2.535,97.0
155,StdMoE-B,1,0.1748,0.3407,3140,68,1.359,98.9
39,StdMoE-B,1,0.1520,0.3994,1621,200,3.961,70.4
246,StdMoE-B,1,0.1689,0.3214,3918,18,0.064,99.5
23,StdMoE-B,1,0.4002,0.2666,3259,1659,7.056,5.9
127,StdMoE-B,1,0.2611,0.3223,3193,731,5.751,11.9
234,StdMoE-B,1,0.4554,0.2185,2125,786,6.008,19.0
24,StdMoE-B,1,0.2899,0.3135,2017,726,6.063,17.6
151,StdMoE-B,1,0.1626,0.4346,1216,40,2.158,97.9
79,StdMoE-B,1,0.0619,0.2998,2043,401,5.122,31.6
9,StdMoE-B,1,0.4114,0.0000,2675,268,4.543,51.0
253,StdMoE-B,1,0.3443,0.4007,3852,14,0.302,99.8
50,StdMoE-B,1,0.4653,0.2976,1802,488,5.361,24.3
49,StdMoE-B,1,0.4425,0.3370,2525,377,4.704,11.7
72,StdMoE-B,1,0.0941,0.4049,3297,14,0.583,99.7
163,StdMoE-B,1,0.2930,0.2579,3611,10,0.059,99.8
114,StdMoE-B,1,0.3768,0.4015,22823,177,0.544,5.8
33,StdMoE-B,1,0.2819,0.2915,3156,963,6.329,11.4
230,StdMoE-B,1,0.3304,0.2955,2497,711,5.988,16.5
242,StdMoE-B,1,0.2177,0.4276,735,62,2.639,93.9
45,StdMoE-B,1,0.1843,0.4325,4201,79,2.846,99.0
240,StdMoE-B,1,0.1468,0.4003,3766,51,1.592,99.2
43,StdMoE-B,1,0.6117,0.2623,2778,1038,6.384,10.0
112,StdMoE-B,1,0.2721,0.3067,2683,909,6.257,14.6
32,StdMoE-B,1,0.1681,0.4150,3676,9,0.035,99.8
29,StdMoE-B,1,0.2069,0.3227,1359,188,4.239,72.6
16,StdMoE-B,1,0.2718,0.3779,748,124,3.821,79.8
48,StdMoE-B,1,0.4743,0.6128,1590,110,3.372,94.7
116,StdMoE-B,1,0.3014,0.3894,2438,328,4.730,47.5
220,StdMoE-B,1,0.3669,0.4440,1169,320,5.092,40.1
172,StdMoE-B,1,0.1049,0.3648,1713,200,4.469,68.9
205,StdMoE-B,1,0.1452,0.3424,1543,394,5.346,32.1
243,StdMoE-B,1,0.2282,0.4019,2114,365,4.931,41.2
185,StdMoE-B,1,0.3766,0.2736,3364,764,5.938,10.9
130,StdMoE-B,1,0.1440,0.3853,3449,71,2.793,98.7
164,StdMoE-B,1,0.0602,0.3150,1843,523,5.648,13.6
8,StdMoE-B,1,0.3517,0.2733,2029,536,5.473,16.3
196,StdMoE-B,1,0.1502,0.2762,3209,675,5.582,16.1
161,StdMoE-B,1,0.1148,0.3280,3510,35,1.085,99.3
194,StdMoE-B,1,0.0841,0.3120,3360,964,6.116,10.8
144,StdMoE-B,1,0.1832,0.4227,1412,64,2.005,97.9
27,StdMoE-B,1,0.3417,0.4007,2508,468,5.244,21.7
247,StdMoE-B,1,0.3642,0.2613,1988,779,5.612,15.7
221,StdMoE-B,1,0.1952,0.4090,1758,26,1.411,99.1
110,StdMoE-B,1,0.1551,0.4032,663,36,2.484,97.3
146,StdMoE-B,1,0.2396,0.3193,3266,16,0.343,99.7
41,StdMoE-B,1,0.0984,0.3286,319,48,2.372,89.7
231,StdMoE-B,1,0.1258,0.3451,2253,289,4.930,36.0
75,StdMoE-B,1,0.6391,0.5975,2582,390,5.216,10.8
11,StdMoE-B,1,0.3151,0.3851,1302,49,1.950,97.5
